codigo_ibge;nome;codigo_uf;uf;estado;regiao;capital;latitude;longitude;siafi_id;ddd;fuso_horario
1100015;Alta Floresta D'Oeste;11;RO;Rondônia;Norte;0;-11.9283;-61.9953;0033;69;America/Porto_Velho
1100023;Ariquemes;11;RO;Rondônia;Norte;0;-9.90571;-63.0325;0007;69;America/Porto_Velho
1100031;Cabixi;11;RO;Rondônia;Norte;0;-13.4945;-60.552;0037;69;America/Porto_Velho
1100049;Cacoal;11;RO;Rondônia;Norte;0;-11.4343;-61.4562;0009;69;America/Porto_Velho
1100056;Cerejeiras;11;RO;Rondônia;Norte;0;-13.187;-60.8168;0027;69;America/Porto_Velho
1100064;Colorado do Oeste;11;RO;Rondônia;Norte;0;-13.1174;-60.5454;0023;69;America/Porto_Velho
1100072;Corumbiara;11;RO;Rondônia;Norte;0;-12.9551;-60.8947;0981;69;America/Porto_Velho
1100080;Costa Marques;11;RO;Rondônia;Norte;0;-12.4367;-64.228;0021;69;America/Porto_Velho
1100098;Espigão D'Oeste;11;RO;Rondônia;Norte;0;-11.5266;-61.0252;0025;69;America/Porto_Velho
1100106;Guajará-Mirim;11;RO;Rondônia;Norte;0;-10.7889;-65.3296;0001;69;America/Porto_Velho
1100114;Jaru;11;RO;Rondônia;Norte;0;-10.4318;-62.4788;0015;69;America/Porto_Velho
1100122;Ji-Paraná;11;RO;Rondônia;Norte;0;-10.8777;-61.9322;0005;69;America/Porto_Velho
1100130;Machadinho D'Oeste;11;RO;Rondônia;Norte;0;-9.44363;-61.9818;0039;69;America/Porto_Velho
1100148;Nova Brasilândia D'Oeste;11;RO;Rondônia;Norte;0;-11.7247;-62.3127;0041;69;America/Porto_Velho
1100155;Ouro Preto do Oeste;11;RO;Rondônia;Norte;0;-10.7167;-62.2565;0017;69;America/Porto_Velho
1100189;Pimenta Bueno;11;RO;Rondônia;Norte;0;-11.672;-61.198;0011;69;America/Porto_Velho
1100205;Porto Velho;11;RO;Rondônia;Norte;1;-8.76077;-63.8999;0003;69;America/Porto_Velho
1100254;Presidente Médici;11;RO;Rondônia;Norte;0;-11.169;-61.8986;0019;69;America/Porto_Velho
1100262;Rio Crespo;11;RO;Rondônia;Norte;0;-9.69965;-62.9011;0687;69;America/Porto_Velho
1100288;Rolim de Moura;11;RO;Rondônia;Norte;0;-11.7271;-61.7714;0029;69;America/Porto_Velho
1100296;Santa Luzia D'Oeste;11;RO;Rondônia;Norte;0;-11.9074;-61.7777;0043;69;America/Porto_Velho
1100304;Vilhena;11;RO;Rondônia;Norte;0;-12.7502;-60.1488;0013;69;America/Porto_Velho
1100320;São Miguel do Guaporé;11;RO;Rondônia;Norte;0;-11.6953;-62.7192;0045;69;America/Porto_Velho
1100338;Nova Mamoré;11;RO;Rondônia;Norte;0;-10.4077;-65.3346;0047;69;America/Porto_Velho
1100346;Alvorada D'Oeste;11;RO;Rondônia;Norte;0;-11.3463;-62.2847;0035;69;America/Porto_Velho
1100379;Alto Alegre dos Parecis;11;RO;Rondônia;Norte;0;-12.132;-61.835;0002;69;America/Porto_Velho
1100403;Alto Paraíso;11;RO;Rondônia;Norte;0;-9.71429;-63.3188;0675;69;America/Porto_Velho
1100452;Buritis;11;RO;Rondônia;Norte;0;-10.1943;-63.8324;0004;69;America/Porto_Velho
1100502;Novo Horizonte do Oeste;11;RO;Rondônia;Norte;0;-11.6961;-61.9951;0689;69;America/Porto_Velho
1100601;Cacaulândia;11;RO;Rondônia;Norte;0;-10.349;-62.9043;0677;69;America/Porto_Velho
1100700;Campo Novo de Rondônia;11;RO;Rondônia;Norte;0;-10.5712;-63.6266;0679;69;America/Porto_Velho
1100809;Candeias do Jamari;11;RO;Rondônia;Norte;0;-8.7907;-63.7005;0681;69;America/Porto_Velho
1100908;Castanheiras;11;RO;Rondônia;Norte;0;-11.4253;-61.9482;0691;69;America/Porto_Velho
1100924;Chupinguaia;11;RO;Rondônia;Norte;0;-12.5611;-60.8877;0006;69;America/Porto_Velho
1100940;Cujubim;11;RO;Rondônia;Norte;0;-9.36065;-62.5846;0008;69;America/Porto_Velho
1101005;Governador Jorge Teixeira;11;RO;Rondônia;Norte;0;-10.61;-62.7371;0693;69;America/Porto_Velho
1101104;Itapuã do Oeste;11;RO;Rondônia;Norte;0;-9.19687;-63.1809;0683;69;America/Porto_Velho
1101203;Ministro Andreazza;11;RO;Rondônia;Norte;0;-11.196;-61.5174;0695;69;America/Porto_Velho
1101302;Mirante da Serra;11;RO;Rondônia;Norte;0;-11.029;-62.6696;0697;69;America/Porto_Velho
1101401;Monte Negro;11;RO;Rondônia;Norte;0;-10.2458;-63.29;0685;69;America/Porto_Velho
1101435;Nova União;11;RO;Rondônia;Norte;0;-10.9068;-62.5564;0010;69;America/Porto_Velho
1101450;Parecis;11;RO;Rondônia;Norte;0;-12.1754;-61.6032;0012;69;America/Porto_Velho
1101468;Pimenteiras do Oeste;11;RO;Rondônia;Norte;0;-13.4823;-61.0471;0014;69;America/Porto_Velho
1101476;Primavera de Rondônia;11;RO;Rondônia;Norte;0;-11.8295;-61.3153;0016;69;America/Porto_Velho
1101484;São Felipe D'Oeste;11;RO;Rondônia;Norte;0;-11.9023;-61.5026;0018;69;America/Porto_Velho
1101492;São Francisco do Guaporé;11;RO;Rondônia;Norte;0;-12.052;-63.568;0020;69;America/Porto_Velho
1101500;Seringueiras;11;RO;Rondônia;Norte;0;-11.8055;-63.0182;0699;69;America/Porto_Velho
1101559;Teixeirópolis;11;RO;Rondônia;Norte;0;-10.9056;-62.242;0022;69;America/Porto_Velho
1101609;Theobroma;11;RO;Rondônia;Norte;0;-10.2483;-62.3538;0975;69;America/Porto_Velho
1101708;Urupá;11;RO;Rondônia;Norte;0;-11.1261;-62.3639;0977;69;America/Porto_Velho
1101757;Vale do Anari;11;RO;Rondônia;Norte;0;-9.86215;-62.1876;0024;69;America/Porto_Velho
1101807;Vale do Paraíso;11;RO;Rondônia;Norte;0;-10.4465;-62.1352;0979;69;America/Porto_Velho
1200013;Acrelândia;12;AC;Acre;Norte;0;-9.82581;-66.8972;0643;68;America/Rio_Branco
1200054;Assis Brasil;12;AC;Acre;Norte;0;-10.9298;-69.5738;0157;68;America/Rio_Branco
1200104;Brasiléia;12;AC;Acre;Norte;0;-10.995;-68.7497;0105;68;America/Rio_Branco
1200138;Bujari;12;AC;Acre;Norte;0;-9.81528;-67.955;0645;68;America/Rio_Branco
1200179;Capixaba;12;AC;Acre;Norte;0;-10.566;-67.686;0647;68;America/Rio_Branco
1200203;Cruzeiro do Sul;12;AC;Acre;Norte;0;-7.62762;-72.6756;0107;68;America/Rio_Branco
1200252;Epitaciolândia;12;AC;Acre;Norte;0;-11.0188;-68.7341;0651;68;America/Rio_Branco
1200302;Feijó;12;AC;Acre;Norte;0;-8.17054;-70.351;0113;68;America/Rio_Branco
1200328;Jordão;12;AC;Acre;Norte;0;-9.1908;-71.9503;0653;68;America/Rio_Branco
1200336;Mâncio Lima;12;AC;Acre;Norte;0;-7.61657;-72.8997;0109;68;America/Rio_Branco
1200344;Manoel Urbano;12;AC;Acre;Norte;0;-8.83291;-69.2679;0155;68;America/Rio_Branco
1200351;Marechal Thaumaturgo;12;AC;Acre;Norte;0;-8.93898;-72.7997;0655;68;America/Rio_Branco
1200385;Plácido de Castro;12;AC;Acre;Norte;0;-10.2806;-67.1371;0151;68;America/Rio_Branco
1200393;Porto Walter;12;AC;Acre;Norte;0;-8.26323;-72.7537;0657;68;America/Rio_Branco
1200401;Rio Branco;12;AC;Acre;Norte;1;-9.97499;-67.8243;0139;68;America/Rio_Branco
1200427;Rodrigues Alves;12;AC;Acre;Norte;0;-7.73864;-72.661;0659;68;America/Rio_Branco
1200435;Santa Rosa do Purus;12;AC;Acre;Norte;0;-9.44652;-70.4902;0661;68;America/Rio_Branco
1200450;Senador Guiomard;12;AC;Acre;Norte;0;-10.1497;-67.7362;0153;68;America/Rio_Branco
1200500;Sena Madureira;12;AC;Acre;Norte;0;-9.06596;-68.6571;0145;68;America/Rio_Branco
1200609;Tarauacá;12;AC;Acre;Norte;0;-8.15697;-70.7722;0147;68;America/Rio_Branco
1200708;Xapuri;12;AC;Acre;Norte;0;-10.6516;-68.4969;0149;68;America/Rio_Branco
1200807;Porto Acre;12;AC;Acre;Norte;0;-9.58138;-67.5478;0649;68;America/Rio_Branco
1300029;Alvarães;13;AM;Amazonas;Norte;0;-3.22727;-64.8007;0289;97;America/Porto_Velho
1300060;Amaturá;13;AM;Amazonas;Norte;0;-3.37455;-68.2005;0291;97;America/Porto_Velho
1300086;Anamã;13;AM;Amazonas;Norte;0;-3.56697;-61.3963;0293;97;America/Porto_Velho
1300102;Anori;13;AM;Amazonas;Norte;0;-3.74603;-61.6575;0203;97;America/Porto_Velho
1300144;Apuí;13;AM;Amazonas;Norte;0;-7.19409;-59.896;0969;97;America/Porto_Velho
1300201;Atalaia do Norte;13;AM;Amazonas;Norte;0;-4.37055;-70.1967;0205;97;America/Rio_Branco
1300300;Autazes;13;AM;Amazonas;Norte;0;-3.58574;-59.1256;0207;92;America/Porto_Velho
1300409;Barcelos;13;AM;Amazonas;Norte;0;-0.983373;-62.9311;0209;97;America/Porto_Velho
1300508;Barreirinha;13;AM;Amazonas;Norte;0;-2.79886;-57.0679;0211;92;America/Porto_Velho
1300607;Benjamin Constant;13;AM;Amazonas;Norte;0;-4.37768;-70.0342;0213;97;America/Rio_Branco
1300631;Beruri;13;AM;Amazonas;Norte;0;-3.89874;-61.3616;0295;97;America/Porto_Velho
